,date,source,nitro_price_lb,corn_price_bu
0,2025-01-06,Urea,0.24,4.25
1,2025-01-06,Anhydrous Ammonia,0.33,4.25
2,2025-01-06,Liquid Nitrogen 28,0.15,4.25
3,2025-01-06,Liquid Nitrogen 32,0.15,4.25
4,2025-01-20,Urea,0.24,4.55
5,2025-01-20,Anhydrous Ammonia,0.33,4.55
6,2025-01-20,Liquid Nitrogen 28,0.15,4.55
7,2025-01-20,Liquid Nitrogen 32,0.15,4.55
8,2025-02-03,Liquid Nitrogen 32,0.15,4.51
9,2025-02-03,Liquid Nitrogen 28,0.16,4.51
10,2025-02-03,Urea,0.25,4.51
11,2025-02-03,Anhydrous Ammonia,0.34,4.51
12,2025-02-17,Urea,0.25,4.67
13,2025-02-17,Anhydrous Ammonia,0.34,4.67
14,2025-02-17,Liquid Nitrogen 28,0.16,4.67
15,2025-02-17,Liquid Nitrogen 32,0.15,4.67
16,2025-03-03,Liquid Nitrogen 32,0.15,4.32
17,2025-03-03,Liquid Nitrogen 28,0.16,4.32
18,2025-03-03,Urea,0.25,4.32
19,2025-03-03,Anhydrous Ammonia,0.34,4.32
20,2025-03-17,Urea,0.26,4.26
21,2025-03-17,Anhydrous Ammonia,0.36,4.26
22,2025-03-17,Liquid Nitrogen 28,0.17,4.26
23,2025-03-17,Liquid Nitrogen 32,0.17,4.26
24,2025-03-31,Urea,0.26,4.25
25,2025-03-31,Anhydrous Ammonia,0.36,4.25
26,2025-03-31,Liquid Nitrogen 28,0.17,4.25
27,2025-03-31,Liquid Nitrogen 32,0.17,4.25
28,2025-04-14,Urea,0.26,4.65
29,2025-04-14,Anhydrous Ammonia,0.36,4.65
30,2025-04-14,Liquid Nitrogen 28,0.17,4.65
31,2025-04-14,Liquid Nitrogen 32,0.2,4.65
32,2025-04-28,Liquid Nitrogen 32,0.2,4.57
33,2025-04-28,Liquid Nitrogen 28,0.18,4.57
34,2025-04-28,Urea,0.26,4.57
35,2025-04-28,Anhydrous Ammonia,0.36,4.57
36,2025-05-12,Urea,0.26,4.25
37,2025-05-12,Anhydrous Ammonia,0.36,4.25
38,2025-05-12,Liquid Nitrogen 28,0.19,4.25
39,2025-05-12,Liquid Nitrogen 32,0.22,4.25
40,2025-05-26,Urea,0.26,4.38
41,2025-05-26,Anhydrous Ammonia,0.36,4.38
42,2025-05-26,Liquid Nitrogen 28,0.19,4.38
43,2025-05-26,Liquid Nitrogen 32,0.22,4.38
44,2025-06-09,Liquid Nitrogen 32,0.22,4.23
45,2025-06-09,Urea,0.26,4.23
46,2025-06-09,Anhydrous Ammonia,0.36,4.23
47,2025-06-09,Liquid Nitrogen 28,0.19,4.23
48,2025-06-23,Liquid Nitrogen 32,0.22,4.1
49,2025-06-23,Liquid Nitrogen 28,0.19,4.1
50,2025-06-23,Anhydrous Ammonia,0.36,4.1
51,2025-06-23,Urea,0.26,4.1
52,2025-07-07,Urea,0.26,4.13
53,2025-07-07,Anhydrous Ammonia,0.36,4.13
54,2025-07-07,Liquid Nitrogen 28,0.19,4.13
55,2025-07-07,Liquid Nitrogen 32,0.22,4.13
56,2025-07-21,Liquid Nitrogen 32,0.22,3.99
57,2025-07-21,Urea,0.26,3.99
58,2025-07-21,Anhydrous Ammonia,0.36,3.99
59,2025-07-21,Liquid Nitrogen 28,0.19,3.99
60,2025-08-04,Liquid Nitrogen 28,0.2,3.78
61,2025-08-04,Liquid Nitrogen 32,0.22,3.78
62,2025-08-04,Urea,0.27,3.78
63,2025-08-04,Anhydrous Ammonia,0.36,3.78
64,2025-08-18,Liquid Nitrogen 28,0.2,3.7
65,2025-08-18,Liquid Nitrogen 32,0.22,3.7
66,2025-08-18,Urea,0.27,3.7
